name,count,id,lat,lng
2112 W Peterson Ave,581,KA1504000155,41.991178,-87.683593
21st St & Pulaski Rd,31,21331,41.8534195,-87.72449583333334
63rd St Beach,1018,15491,41.78091096424803,-87.57632374763489
900 W Harrison St,11302,13028,41.874754,-87.649807
Aberdeen St & Jackson Blvd,13598,13157,41.87772613,-87.65478743
Aberdeen St & Monroe St,9127,13156,41.880419,-87.655519
Aberdeen St & Randolph St,9590,18062,41.884114,-87.654264
Ada St & 113th St,15,20129,41.687561623357375,-87.65547573566435
Ada St & Washington Blvd,6046,13353,41.88283,-87.661206
Adler Planetarium,15502,13431,41.866095,-87.607267
Albany Ave & 16th St,110,422,41.859222889,-87.702992201
Albany Ave & 26th St,146,15691,41.844507,-87.701655
Albany Ave & Belmont Ave,689,434,41.939637661,-87.705193758
Albany Ave & Bloomingdale Ave,4812,15655,41.91402671273,-87.705126462
Albany Ave & Douglas Blvd,74,421,41.863197565,-87.702958584
Albany Ave & Montrose Ave,1814,15621,41.961041,-87.705866
Altgeld Gardens,18,20212,41.65666552967373,-87.59880065917969
Archer (Damen) Ave & 37th St,549,18022,41.826712,-87.683144
Archer Ave & 43rd St,62,341,41.815471649,-87.702363849
Archer Ave & Homan Ave,7,24246,41.81153,-87.70885
Artesian Ave & 55th St,69,345,41.793961,-87.68582966666666
Artesian Ave & 71st St,35,23141,41.764345,-87.684417
Artesian Ave & Hubbard St,4917,15664,41.8895,-87.688257
Artesian Ave & Marquette Rd,81,23142,41.77203,-87.684637
Ashland Ave & 13th St,2711,13354,41.865234,-87.666507
Ashland Ave & 50th St,283,16940,41.803023,-87.664699
Ashland Ave & 63rd St,73,16948,41.779397488,-87.664870024
Ashland Ave & 66th St,71,16950,41.774077773,-87.663738728
Ashland Ave & 74th St,51,20245,41.75923602425868,-87.66347408294678
Ashland Ave & 78th St,71,20234,41.75220484941116,-87.66369938850403
Ashland Ave & Archer Ave,1381,15442,41.83920868403,-87.6656098589
Ashland Ave & Augusta Blvd,6513,13248,41.899643,-87.6677
Ashland Ave & Belle Plaine Ave,2762,13249,41.956057,-87.668835
Ashland Ave & Blackhawk St,7174,13224,41.907066,-87.667252
Ashland Ave & Chicago Ave,5576,13247,41.89595435734305,-87.6677280664444
Ashland Ave & Division St,19009,13061,41.90345,-87.667747
Ashland Ave & Garfield Blvd,62,16943,41.792822,-87.664429
Ashland Ave & Grace St,7004,13319,41.950687,-87.6687
